_id,sn,mda,purpose,state,lga,address,landmark,year_commissioned,valuation,lat,lng
asset_a99d4e56ab,560,Federal High Court,Office Building,Maiduguri,Maiduguri,"3, Toro Road, Off Sheu Laminu Way, Old GRA",,,,,
asset_4d5a1b25bc,561,Federal High Court,Office Building,Benue,Makurdi,"Off Ahmadu Bello Way, Old GRA",,,,7.7312634,8.538425
asset_bdab056055,562,Federal High Court,Office Building,Niger,Minna,"2, Ibrahim Babagida Way",,,,9.6187093,6.5475752
asset_977a344b6c,563,Federal High Court,Office Building,Osun,Oshogbo,"Gbongan - Oshogbo Road, Abere",,,,7.7791666,4.5538891
asset_e52c92ca2d,564,Federal High Court,Office Building,Imo,Owerri,"New Owerri Layout, Port Harcourt Road",,,,5.489736,7.0341973
asset_0947433445,565,Federal High Court,Office Building,Rivers,Port Harcourt,Station Okrika Road,,,,4.7676576,7.0188527
asset_57c230b4d0,566,Federal High Court,Office Building,Sokoto,Sokoto,Gwandu Road,,,,13.0610588,5.2373194
asset_6c3969ce9b,567,Federal High Court,Office Building,Abia,Umuahia,"Abia State High Court Premises, 13B, Okpara Avenue,",,,,5.5324032,7.4924165
asset_f704bfb4ff,568,Federal High Court,Office Building,Akwa-Ibom,Uyo,Udom - Udoma Avenue,Ibom Tropicana Entertainment Center,,,,
asset_82edcb4ee4,569,Federal High Court,Office Building,Bayelsa,Yenegoa,Captain Amangala Road,,,,,
asset_072a151faa,570,Federal High Court,Office Building,Adamawa,Jimeta Yola,"9A, Kashim Ibrahim road",,,,9.5129772,12.3881887
asset_69095f2e30,572,The Supreme Court,Office Building,"FCT, Abuja",AMAC,"Supreme Court Complex, Three Arms Zone",,,,9.0552729,7.4662595
asset_08c3e96efd,573,The Supreme Court Clinic,Office Building,"FCT, Abuja",AMAC,"Supreme Court Complex, Three Arms Zone",,,,9.0552729,7.4662595
asset_016f1a035e,574,Federal Judicial Service Commission,Office Building,"FCT, Abuja",AMAC,"Supreme Court Complex, Three Arms Zone",,,,9.0552729,7.4662595
asset_346d4fc618,575,National Judicial Council,Office Building,"FCT, Abuja",AMAC,"Supreme Court Complex, Three Arms Zone",,,,9.0552729,7.4662595
asset_cd279ddc8a,576,National Judicial Council Clinic,Office Building,"FCT, Abuja",AMAC,"Supreme Court Complex, Three Arms Zone",,,,9.0552729,7.4662595
asset_622b1995fe,577,National Judicial Institute,Office Building,"FCT, Abuja",AMAC,"Mohammed Bello Centre, Umaru Musa Yarâ€™adua Express Way.
 Wuse",,,,9.0552729,7.4662595
asset_6844f991a8,578,National Industrial Court Of Nigeria,Office Building,"FCT, Abuja",AMAC,"No.11, Bussa Close, Area 3, Garki",Garki,under construction,,9.0552729,7.4662595
asset_a04d8b9497,580,National Industrial Court Of Nigeria,Office Building,"FCT, Abuja",AMAC,"10, PortHarcourt Crescent, Area 11",Garki,2001,,9.0552729,7.4662595
asset_c88d326fdd,581,National Industrial Court Of Nigeria,Office Building,Lagos,VI Ikoyi,"No.31 Lugard Avenue, Ikoyi",Ikoyi,2008,,6.4550575,3.3941795
asset_fbc5fb2bf2,582,National Industrial Court Of Nigeria,Office Building,Adamawa,Yola,"No.9 Kashim Ibrahim Way, Dougirei Govt. Lodge Jimeta, Yola",Jimeta,Owned,,9.2089255,12.4802485
